ticker,entry_ts,entry_price,exit_ts,exit_price,exit_reason,regime,shares
AAOI,2025-04-23 14:09:00+00:00,12.43000030517578,2025-04-23 14:17:00+00:00,12.300000190734863,stop_loss,neutral,162
AAOI,2025-04-23 14:36:00+00:00,12.675999641418455,2025-04-23 14:51:00+00:00,12.470000267028809,stop_loss,neutral,145
ACHR,2025-04-23 14:33:00+00:00,8.149999618530273,2025-04-23 14:57:00+00:00,8.09000015258789,stop_loss,neutral,428
ACHR,2025-04-23 14:54:00+00:00,8.170000076293945,2025-04-23 14:56:00+00:00,8.149999618530273,stop_loss,neutral,599
AEVA,2025-04-23 14:32:00+00:00,7.130000114440918,2025-04-23 14:42:00+00:00,7.079999923706055,stop_loss,neutral,500
AOSL,2025-04-23 14:00:00+00:00,18.22599983215332,2025-04-23 14:20:00+00:00,18.100000381469727,stop_loss,neutral,75
AOSL,2025-04-23 13:54:00+00:00,18.349899291992188,2025-04-23 13:55:00+00:00,18.020000457763672,stop_loss,neutral,93
AOSL,2025-04-23 13:54:00+00:00,18.349899291992188,2025-04-23 13:55:00+00:00,18.020000457763672,stop_loss,neutral,93
ATXS,2025-04-23 14:14:00+00:00,5.21999979019165,2025-04-23 14:31:00+00:00,5.125,stop_loss,neutral,333
BCAX,2025-04-23 14:29:00+00:00,15.414999961853027,2025-04-23 14:30:00+00:00,15.0,stop_loss,neutral,107
BCAX,2025-04-23 14:29:00+00:00,15.414999961853027,2025-04-23 14:30:00+00:00,15.0,stop_loss,neutral,107
BCAX,2025-04-23 15:12:00+00:00,15.960000038146973,2025-04-23 15:33:00+00:00,15.779999732971191,stop_loss,neutral,75
COMM,2025-04-23 16:58:00+00:00,3.809999942779541,2025-04-23 17:00:00+00:00,3.799999952316284,stop_loss,neutral,1500
COMM,2025-04-23 18:20:00+00:00,3.8550000190734863,2025-04-23 19:10:00+00:00,3.799999952316284,stop_loss,neutral,545
COMM,2025-04-23 18:37:00+00:00,3.859999895095825,2025-04-23 18:51:00+00:00,3.8350000381469727,stop_loss,bearish,500
CRSR,2025-04-23 13:37:00+00:00,6.684999942779541,2025-04-23 19:25:00+00:00,6.590000152587891,stop_loss,neutral,285
CRSR,2025-04-23 13:41:00+00:00,6.775000095367432,2025-04-23 14:08:00+00:00,6.71999979019165,stop_loss,neutral,315
CRSR,2025-04-23 13:44:00+00:00,6.788000106811523,2025-04-23 13:55:00+00:00,6.760000228881836,stop_loss,neutral,384
CRSR,2025-04-23 13:57:00+00:00,6.824999809265137,2025-04-23 14:00:00+00:00,6.789999961853027,stop_loss,neutral,371
CRSR,2025-04-23 14:39:00+00:00,6.900000095367432,2025-04-23 14:51:00+00:00,6.835000038146973,stop_loss,neutral,399
CRSR,2025-04-23 14:43:00+00:00,6.934999942779541,2025-04-23 14:45:00+00:00,6.880000114440918,stop_loss,neutral,461
DYN,2025-04-23 14:44:00+00:00,11.020000457763672,2025-04-23 15:18:00+00:00,10.90999984741211,stop_loss,neutral,249
DYN,2025-04-23 14:51:00+00:00,11.09000015258789,2025-04-23 15:10:00+00:00,11.03499984741211,stop_loss,neutral,214
DYN,2025-04-23 18:00:00+00:00,11.100000381469728,2025-04-23 18:10:00+00:00,11.039999961853027,stop_loss,bearish,166
ENVX,2025-04-23 14:26:00+00:00,6.790299892425537,2025-04-23 14:42:00+00:00,6.789999961853027,stop_loss,neutral,373
ENVX,2025-04-23 14:32:00+00:00,6.800000190734863,2025-04-23 14:42:00+00:00,6.789999961853027,stop_loss,neutral,666
GLUE,2025-04-23 17:54:00+00:00,5.304999828338623,2025-04-23 18:30:00+00:00,5.309999942779541,momentum_end,neutral,600
HCSG,2025-04-23 19:59:00+00:00,12.1899995803833,2025-04-23 19:59:00+00:00,12.1899995803833,no_data,neutral,375
HOUS,2025-04-23 15:01:00+00:00,3.200000047683716,2025-04-23 15:02:00+00:00,3.190000057220459,stop_loss,neutral,1199
IRBT,2025-04-23 14:35:00+00:00,2.1998000144958496,2025-04-23 14:37:00+00:00,2.18560004234314,stop_loss,neutral,1209
KRRO,2025-04-23 15:21:00+00:00,19.475000381469727,2025-04-23 16:44:00+00:00,19.53499984741211,stop_loss,neutral,48
LUNR,2025-04-23 14:30:00+00:00,8.175200462341309,2025-04-23 15:17:00+00:00,8.015000343322754,stop_loss,neutral,181
LUNR,2025-04-23 14:30:00+00:00,8.175200462341309,2025-04-23 14:50:00+00:00,8.080100059509277,stop_loss,neutral,299
MRVI,2025-04-23 14:33:00+00:00,2.150000095367432,2025-04-23 15:17:00+00:00,2.119999885559082,stop_loss,neutral,999
MXL,2025-04-23 13:50:00+00:00,11.55500030517578,2025-04-23 14:16:00+00:00,11.210000038146973,stop_loss,neutral,86
NGNE,2025-04-23 14:00:00+00:00,15.59000015258789,2025-04-23 15:31:00+00:00,15.0,stop_loss,neutral,73
NVAX,2025-04-23 14:26:00+00:00,7.78000020980835,2025-04-23 14:27:00+00:00,7.78000020980835,stop_loss,neutral,432
QBTS,2025-04-23 14:09:00+00:00,6.909900188446045,2025-04-23 14:41:00+00:00,7.215000152587891,trail_stop,neutral,214
QBTS,2025-04-23 14:18:00+00:00,6.930099964141846,2025-04-23 14:41:00+00:00,7.215000152587891,trail_stop,neutral,499
QBTS,2025-04-23 14:22:00+00:00,7.005000114440918,2025-04-23 14:41:00+00:00,7.215000152587891,trail_stop,neutral,352
QBTS,2025-04-23 17:18:00+00:00,7.079999923706055,2025-04-23 18:26:00+00:00,7.179999828338623,momentum_end,neutral,428
QBTS,2025-04-23 14:29:00+00:00,7.119999885559082,2025-04-23 15:32:00+00:00,7.099999904632568,stop_loss,neutral,500
QBTS,2025-04-23 15:04:00+00:00,7.195000171661377,2025-04-23 15:26:00+00:00,7.150000095367432,stop_loss,neutral,461
QBTS,2025-04-23 14:34:00+00:00,7.34499979019165,2025-04-23 14:37:00+00:00,7.369999885559082,stop_loss,neutral,400
RGNX,2025-04-23 15:41:00+00:00,8.729999542236328,2025-04-23 15:43:00+00:00,8.720000267028809,stop_loss,neutral,500
RGNX,2025-04-23 18:10:00+00:00,8.960000038146973,2025-04-23 19:56:00+00:00,8.963000297546387,stop_loss,neutral,461
SOUN,2025-04-23 14:11:00+00:00,8.960000038146973,2025-04-23 14:14:00+00:00,8.890000343322754,stop_loss,neutral,272
SPCE,2025-04-23 19:14:00+00:00,2.9100000858306885,2025-04-23 19:48:00+00:00,2.869999885559082,stop_loss,bearish,333
SPCE,2025-04-23 18:48:00+00:00,2.950000047683716,2025-04-23 18:52:00+00:00,2.9100000858306885,stop_loss,bearish,383
TBCH,2025-04-23 13:58:00+00:00,11.949999809265137,2025-04-23 14:01:00+00:00,11.84000015258789,stop_loss,neutral,222
TBCH,2025-04-23 13:58:00+00:00,11.949999809265137,2025-04-23 14:01:00+00:00,11.84000015258789,stop_loss,neutral,222
VERV,2025-04-23 14:35:00+00:00,5.849999904632568,2025-04-23 14:37:00+00:00,5.840000152587891,stop_loss,neutral,921
WVE,2025-04-23 15:01:00+00:00,7.255000114440918,2025-04-23 15:23:00+00:00,7.199999809265137,stop_loss,neutral,399
